code,name1c,cat,sub,metal,qty,shops,per,sales,sum_sales,last_dt,last_price
000110928,подвеска 731905 (Au.585),Подвески,,Золото 585,1,1,19 Истра:1,1,15245,2024-12-10,44990.0
000082056,брошь 060237 (Au.585),Броши,,Золото 585,2,2,"№5 Озёры:1, 11 Ногинск №3:1",1,15242,2023-12-10,27713.0
000110695,браслет 7040051 (Au.585),Браслеты,,Золото 585,3,3,"№1 Раменское №1:1, 18 Подружка:1, 12 Воскресенск №2:1",1,15210,2025-06-09,38025.0
000112560,серьги 0200481 (Au.585),Серьги,,Золото 585,1,1,17 Солнечногорск:1,1,15119,2024-12-18,83990.0
000052536,серьги кл2340а-78 (Au.585),Серьги,,Золото 585,1,1,№1 Раменское №1:1,1,15047,2019-02-20,18808.8
000105676,кольцо 716174 (Au.585),Кольца,,Золото 585,3,2,"№7 Егорьевск №1:2, 17 Солнечногорск:1",1,14968,2024-10-05,67990.0
000078205,брошь 04-0232-00-226-1110-57 (Au.585),Броши,,Золото 585,1,1,18 Подружка:1,1,14966,2022-01-15,24942.4
000089006,серьги 40131300 (Au.585),Серьги,,Золото 585,2,2,"18 Подружка:1, 12 Воскресенск №2:1",1,14959,2022-03-06,15746.4
000102385,кольцо к13217407 (Au.585),Кольца,,Золото 585,1,1,№4 Луховицы:1,1,14947,2025-12-13,33215.0
000072898,кольцо (шт.) т146018897 (Au.585),Кольца,,Золото 585,1,1,№5 Озёры:1,1,14942,2024-12-02,74710.0
000025595,серьги 200-538 александрит,Серьги,,,1,1,14 Электрогорск:1,1,14904,2019-06-30,29808.0
000110131,кольцо 902-00330-10-00-20-00 (Au.585),Кольца,,Золото 585,2,2,"№1 Раменское №1:1, 11 Ногинск №3:1",1,14899,2024-08-22,37248.0
000072647,кольцо кск781 (Au.585),Кольца,,Золото 585,1,1,11 Ногинск №3:1,1,14899,2024-08-17,37248.0
000117754,кольцо к-0619/ф (Au.585),Кольца,,Золото 585,1,1,№1 Раменское №1:1,1,14892,2026-07-01,33092.4
000102399,кольцо к19218168 (Au.585),Кольца,,Золото 585,1,1,№5 Озёры:1,1,14890,2025-03-05,42542.5
000095584,подвеска 03-3373-00-201-1120 (Au.585),Подвески,,Золото 585,1,1,№1 Раменское №1:1,1,14880,2024-03-15,37200.0
000105683,кольцо 716606 (Au.585),Кольца,,Золото 585,2,2,"17 Солнечногорск:1, 19 Истра:1",1,14847,2024-08-18,54990.0
000105869,кольцо 018573 (Au.585),Кольца,,Золото 585,3,2,"17 Солнечногорск:2, №7 Егорьевск №1:1",1,14837,2023-12-24,52990.0
000101739,кольцо 120020d160л-2 (Au.585),Кольца,,Золото 585,1,1,№5 Озёры:1,1,14829,2023-08-07,25567.2
000087020,кольцо л1100927 (Au.585),Кольца,,Золото 585,2,2,"18 Подружка:1, 11 Ногинск №3:1",1,14766,2023-08-04,24610.0
000061841,серьги (шт.) бр121116б (Au.585),Серьги,,Золото 585,1,1,15 Егорьевск №2:1,1,14746,2021-11-23,73730.0
000082436,кольцо 100-1592 (Au.585),Кольца,,Золото 585,1,1,11 Ногинск №3:1,1,14742,2024-12-07,36855.0
000112769,кольцо 019353 (Au.585),Кольца,,Золото 585,1,1,17 Солнечногорск:1,1,14697,2025-06-17,48990.0
000094342,серьги 1204572 (Au.585),Серьги,,Золото 585,1,1,№5 Озёры:1,1,14686,2022-12-14,32635.0
000093412,серьги 831434 (Au.585),Серьги,,Золото 585,2,2,"№4 Луховицы:1, №5 Озёры:1",1,14675,2024-01-14,22577.0
000017921,серьги 200-1092 топаз-свисс кварц-лондон,Серьги,,,1,1,№5 Озёры:1,1,14640,2017-01-14,19012.5
000105958,серьги 027333 (Au.585),Серьги,,Золото 585,2,2,"17 Солнечногорск:1, 19 Истра:1",1,14634,2024-07-15,54990.0
000100350,кольцо 120020g910л (Au.585),Кольца,,Золото 585,1,1,№1 Раменское №1:1,1,14628,2026-03-08,36570.0
000091963,кольцо 100-1319 (Au.585),Кольца,,Золото 585,1,1,14 Электрогорск:1,1,14628,2024-02-13,24380.0
000092383,кольцо вк-2609 (Au.585),Кольца,,Золото 585,1,1,18 Подружка:1,1,14611,2023-12-20,26565.0
000058498,серьги 200-1323 (Au.585),Серьги,,Золото 585,1,1,11 Ногинск №3:1,1,14592,2020-09-12,18240.0
000097102,цепь 51-180-41030-1б/к-фантаз (Au.585),Цепи,,Золото 585,1,1,№5 Озёры:1,1,14568,2023-12-26,22413.0
000116443,цепь 968140804-3 (Ag.925),Цепи,,Серебро 925,2,1,№7 Егорьевск №1:2,1,14555,2026-08-12,25990.0
000115915,подвеска 2б-30-1520-00 (Au.585),Подвески,,Золото 585,1,1,11 Ногинск №3:1,1,14532,2026-04-07,32293.4
000092779,серьги 200-1635 (Au.585),Серьги,,Золото 585,1,1,14 Электрогорск:1,1,14490,2022-10-28,28980.0
000097173,"серьги 51-320-01433-2п/др,агат (Au.585)",Серьги,,Золото 585,1,1,18 Подружка:1,1,14488,2022-12-30,80490.0
000118116,цепь 020330r140l (Ag.925),Цепи,,Серебро 925,3,3,"15 Егорьевск №2:1, №5 Озёры:1, 11 Ногинск №3:1",1,14431,2026-08-31,30064.0
