code,name1c,cat,sub,metal,qty,shops,per,sales,sum_sales,last_dt,last_price
000104225,цепь 968500302 (Ag.925),Цепи,,Серебро 925,27,1,17 Солнечногорск:27,90,58902,2026-08-19,1380.0
000000380,браслет 101080,Браслеты,,,1,1,11 Ногинск №3:1,89,2655579,2024-09-27,224472.0
000085939,браслет нб22-1086аю-3 (Ag.925),Браслеты,,Серебро 925,16,8,"11 Ногинск №3:4, 15 Егорьевск №2:2, №4 Луховицы:2, №5 Озёры:2, 12 Воскресенск №2:2, 14 Электрогорск:2, №1 Раменское №1:1, 18 Подружка:1",89,515113,2026-08-29,20818.4
000003106,подвеска т13096662,Подвески,,,3,3,"15 Егорьевск №2:1, 11 Ногинск №3:1, 14 Электрогорск:1",89,316853,2025-09-05,30494.7
000013280,цепь нц12-053 (Au.585),Цепи,,Золото 585,6,4,"12 Воскресенск №2:3, №4 Луховицы:1, №5 Озёры:1, 11 Ногинск №3:1",88,1009775,2024-10-18,28576.0
000002261,кольцо обр глк гл-50-01-2-09-000,Кольца,Обручальные,,1,1,№1 Раменское №1:1,88,672715,2020-06-29,10644.5
000005799,кольцо обр двуспл 110156,Кольца,Обручальные,,3,2,"15 Егорьевск №2:2, №1 Раменское №1:1",87,587593,2024-06-12,21681.0
000005798,кольцо обр глк 110062,Кольца,Обручальные,,1,1,11 Ногинск №3:1,86,442856,2022-06-22,15050.0
000085937,цепь 9065040_р (Ag.925),Цепи,,Серебро 925,3,2,"12 Воскресенск №2:2, 18 Подружка:1",86,142684,2026-08-24,9152.0
000087109,браслет нб22-354ю-3 (Ag.925),Браслеты,,Серебро 925,3,2,"№4 Луховицы:2, 12 Воскресенск №2:1",86,83038,2026-06-15,3584.0
000000311,браслет 101060,Браслеты,,,1,1,15 Егорьевск №2:1,85,1291874,2024-05-09,72600.0
000065300,браслет нб22-100-3 (Ag.925),Браслеты,,Серебро 925,1,1,15 Егорьевск №2:1,85,104062,2022-04-26,2209.9
000063759,цепь 1658040490 (Au.585),Цепи,,Золото 585,3,2,"№4 Луховицы:2, 15 Егорьевск №2:1",84,1892007,2024-12-08,125550.0
000090031,цепь 9033070_р (Ag.925),Цепи,,Серебро 925,9,7,"№4 Луховицы:2, 18 Подружка:2, 15 Егорьевск №2:1, №1 Раменское №1:1, №5 Озёры:1, 12 Воскресенск №2:1, 14 Электрогорск:1",84,304809,2026-09-02,19712.0
000087113,браслет нб22-352ю-3 (Ag.925),Браслеты,,Серебро 925,15,7,"№4 Луховицы:4, №5 Озёры:3, 15 Егорьевск №2:2, 11 Ногинск №3:2, 12 Воскресенск №2:2, №1 Раменское №1:1, 18 Подружка:1",84,141887,2026-08-03,6288.0
000000562,кольцо сис 61566а,Кольца,,,5,3,"№1 Раменское №1:2, №5 Озёры:2, 11 Ногинск №3:1",83,1036690,2025-06-06,42752.0
000063758,цепь 1658030490 (Au.585),Цепи,,Золото 585,3,3,"№5 Озёры:1, 12 Воскресенск №2:1, 14 Электрогорск:1",83,1021490,2026-07-08,20774.0
000084088,цепь 51206 (Ag.925),Цепи,,Серебро 925,8,6,"15 Егорьевск №2:2, 12 Воскресенск №2:2, №1 Раменское №1:1, №4 Луховицы:1, №5 Озёры:1, 14 Электрогорск:1",83,461055,2025-02-05,33408.0
000056474,подвеска вп-1443 (Au.585),Подвески,,Золото 585,3,3,"№4 Луховицы:1, 11 Ногинск №3:1, 14 Электрогорск:1",83,355562,2026-05-15,24878.7
000070490,цепь 101040 (Au.585),Цепи,,Золото 585,5,4,"14 Электрогорск:2, №4 Луховицы:1, 18 Подружка:1, 11 Ногинск №3:1",82,2699906,2025-09-20,147375.0
000010064,браслет 7080155п,Браслеты,,,2,2,"№5 Озёры:1, 12 Воскресенск №2:1",82,874766,2024-02-04,39120.0
000002299,браслет (шт.) d8-9/ч5жзш (Au.585),Браслеты,,Золото 585,4,4,"15 Егорьевск №2:1, №1 Раменское №1:1, №5 Озёры:1, 11 Ногинск №3:1",82,410039,2026-04-22,13330.0
000058619,цепь нц12-002 (Au.585),Цепи,,Золото 585,1,1,15 Егорьевск №2:1,81,843040,2025-09-26,33525.0
000087121,браслет нб22-083ю-3 (Ag.925),Браслеты,,Серебро 925,7,5,"№4 Луховицы:2, №5 Озёры:2, 18 Подружка:1, 11 Ногинск №3:1, 12 Воскресенск №2:1",81,71462,2026-08-10,4176.0
000100739,цепь бгр50 (Ag.925),Цепи,,Серебро 925,7,4,"№4 Луховицы:2, 11 Ногинск №3:2, 12 Воскресенск №2:2, 15 Егорьевск №2:1",80,361128,2026-04-29,17360.0
000001201,подвеска вп-1115 (Au.585),Подвески,,Золото 585,6,5,"№1 Раменское №1:2, 15 Егорьевск №2:1, №5 Озёры:1, 18 Подружка:1, 11 Ногинск №3:1",80,258686,2026-06-11,16875.0
000080933,цепь 9033070 (Ag.925),Цепи,,Серебро 925,1,1,11 Ногинск №3:1,80,257855,2026-04-10,23504.0
000065553,кольцо к-085 (Ag.925),Кольца,,Серебро 925,7,3,"15 Егорьевск №2:4, №4 Луховицы:2, 11 Ногинск №3:1",80,62619,2024-08-01,1267.2
000009970,цепь 120503821,Цепи,,,17,8,"11 Ногинск №3:5, №1 Раменское №1:3, 15 Егорьевск №2:2, №4 Луховицы:2, 18 Подружка:2, №5 Озёры:1, 12 Воскресенск №2:1, 14 Электрогорск:1",79,3764736,2026-09-01,240975.0
000000286,цепь 8050155п,Цепи,,,2,2,"18 Подружка:1, 12 Воскресенск №2:1",79,819610,2022-09-13,29667.0
000024487,кольцо обр 1-007шр,Кольца,Обручальные,,2,1,№1 Раменское №1:2,79,35955,2025-09-09,3328.0
000068765,серьги нс12-073 (Au.585),Серьги,,Золото 585,6,6,"15 Егорьевск №2:1, №1 Раменское №1:1, 18 Подружка:1, 11 Ногинск №3:1, 12 Воскресенск №2:1, 14 Электрогорск:1",78,1436012,2026-05-24,113599.8
000100740,цепь бгр60 (Ag.925),Цепи,,Серебро 925,11,7,"15 Егорьевск №2:2, №1 Раменское №1:2, №4 Луховицы:2, 18 Подружка:2, 11 Ногинск №3:1, 12 Воскресенск №2:1, 14 Электрогорск:1",78,513210,2026-05-28,25120.0
000042509,серьги вс-2386 (Au.585),Серьги,,Золото 585,1,1,12 Воскресенск №2:1,77,1801221,2026-03-20,138842.1
000004916,подвеска вп-1117 (Au.585),Подвески,,Золото 585,7,7,"15 Егорьевск №2:1, №1 Раменское №1:1, №4 Луховицы:1, 18 Подружка:1, 11 Ногинск №3:1, 12 Воскресенск №2:1, 14 Электрогорск:1",77,351761,2026-08-13,22500.0
000050426,браслет ба8012 (Ag.925),Браслеты,,Серебро 925,1,1,14 Электрогорск:1,77,293912,2024-11-12,7511.0
000054727,подвеска впс-1382 (Ag.925),Подвески,,Серебро 925,4,4,"№4 Луховицы:1, №5 Озёры:1, 11 Ногинск №3:1, 12 Воскресенск №2:1",77,135398,2024-10-28,6793.6
000031803,серьги вс-2319 (Au.585),Серьги,,Золото 585,2,2,"№4 Луховицы:1, 11 Ногинск №3:1",76,888554,2025-12-16,74750.0
000090017,кольцо обр кл-023 (Ag.925),Кольца,Обручальные,Серебро 925,37,7,"№1 Раменское №1:11, 15 Егорьевск №2:8, 11 Ногинск №3:7, 14 Электрогорск:7, 18 Подружка:2, №5 Озёры:1, 12 Воскресенск №2:1",76,89739,2026-08-01,4593.4
000004526,кольцо 20-037,Кольца,,,2,1,15 Егорьевск №2:2,76,31420,2022-11-12,1990.2
000058963,цепь 106050 (Au.585),Цепи,,Золото 585,2,2,"№4 Луховицы:1, №5 Озёры:1",75,5212657,2026-06-24,353250.0
